id,mol_name,formula,kegg_id,pubchem_sid
77,"dTDP 1-ester with (6S)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran",C16H22N2O14P2,C11931,14092
78,"dTDP 1-ester with 2,6-dideoxy-L-erythro-hexopyranos-3-ulose",C16H24N2O14P2,C11932,14093
79,dTDP-D-mycaminose,C18H31N3O14P2,C11933,14094
80,N-Butyrylglycine,C6H11NO3,"",665216
81,Dimethylprotoporphyrin IX,C36H38N4O4,"",395298
82,Pentacarboxyporphyrin,C37H38N4O10,"",746273
83,N-Palmitoylsphingosine,C34H67NO3,"",""
84,Monoiodothyronine,C15H14INO4,"",3886537
85,Pristanic acid,C19H38O2,"",700681
86,SAICAR,C13H19N4O12P,"",841721
87,Oenanthic ether,C9H18O2,"",291184
88,N-Acetyl-b-neuraminic acid,C11H19NO9,"",""
89,Phosphatidyl ethanolamine,C40H80NO8P,"",160700
90,Jasmone,C11H16O,C08490,10683
91,(-)-Jasmonic acid,C12H18O3,C08491,10684
92,Giganin,C35H62O6,C08488,10681
93,"(Z)-3,5-Hexadienyl butyrate",C10H16O2,C08489,10682
94,"Ethyl(E,Z)-decadienoate",C12H20O2,C08486,10679
95,Ethyl 2-methylbut-2-enoate,C7H12O2,C08487,10680
96,Epoxymurin-A,C35H62O3,C08484,10677
97,2-(4-Methoxyphenethyl)chromone,C18H16O3,C08485,10678
98,Leaf alcohol,C6H12O,C08492,10685
99,Indole-3-carboxaldehyde,C9H7NO,C08493,10686
100,Benzylsuccinate,C11H12O4,C09816,12004
101,Benzamide,C7H7NO,C09815,12003
102,Benzonitrile,C7H5N,C09814,12002
103,2-Ketocyclohexane-1-carboxyl-CoA,C28H44N7O18P3S,C09813,12001
104,2-Hydroxycyclohexane-1-carboxyl-CoA,C28H46N7O18P3S,C09812,12000
105,Cyclohex-1-ene-1-carboxyl-CoA,C28H44N7O17P3S,C09811,11999
106,"Cyclohex-1,4-diene-1-carboxyl-CoA",C28H42N7O17P3S,C09810,11998
107,"Cyclohex-2,5-diene-1-carboxyl-CoA",C28H42N7O17P3S,C09809,11997
108,E-Phenylitaconyl-CoA,C32H44N7O19P3S,C09818,12006
109,Benzylsuccinyl-CoA,C32H46N7O19P3S,C09817,12005
110,2-oxo-5-methylthiopentanoic-acid,C6H10O3S,"",""
111,(-)-(1S)-sabinene,C10H16,"",161801
112,UBIQUINOL-8,C49H78O4,"",3244
113,18-hydroxyoleate,C18H34O3,"",3729003
114,"2,5-diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H16N5O8P,"",""
115,Indole-3-acetyl-L-alanine,C13H14N2O3,"",841896
116,homomethionine,C6H13NO2S,"",1078
117,Diethyl sulfide,C4H10S,C02272,5332
118,Alditol 6-phosphate,C6H15O9P,C02810,5760
119,Albendazole S-oxide,C12H15N3O3S,C02809,5759
120,Ubiquinone-9,C54H82O4,C01967,5068
121,Trimethoprim,C14H18N4O3,C01965,5066
122,8-Hydroxykaempferol,C15H10O7,C02806,5756
123,Tolylacetate,C9H10O2,C01963,5064
124,Thiocysteine,C3H7NO2S2,C01962,5063
125,Thalassemine,C8H19N4O6P,C01961,5062
126,Taurocyamine,C3H9N3O3S,C01959,5060
127,"4,5-Dioxopentanoate",C5H6O4,C02800,5750
128,Pyrazinamide,C5H5N3O,C01956,5057
129,4-Fluorobenzoyl-CoA,C28H39FN7O17P3S,C02802,5752
130,"2-(4'-Chlorophenyl)-3,3-dichloropropenoate",C9H5Cl3O2,C06646,8872
131,Isohelenol,C15H18O5,C09485,11676
132,Isoalantolactone,C15H20O2,C09484,11675
133,Hydroxyvernolide,C19H22O8,C09477,11668
134,7alpha-Hydroxydehydrocostus lactone,C15H18O3,C09476,11667
135,Betagarin,C18H16O6,C09479,11670
136,Auriculoside,C22H26O10,C09478,11669
137,Hymenolin,C15H20O4,C09481,11672
138,Hymenoflorin,C15H20O5,C09480,11671
139,Inulicin,C17H24O5,C09483,11674
140,Hymenoxon,C15H22O5,C09482,11673
141,Tylophorine,C24H27NO4,C10623,12806
142,Verruculotoxin,C15H20N2O,C10624,12807
143,Sirodesmin H,C20H26N2O8S,C10617,12800
144,Sporidesmin,C18H20ClN3O6S2,C10618,12801
145,Shihunine,C12H13NO2,C10615,12798
146,(+)-Galbacin,C20H20O5,C10616,12799
147,Gomisin L1 methyl ether,C23H28O6,C10621,12804
148,Grandisin,C24H32O7,C10622,12805
149,Taxine A,C35H47NO10,C10619,12802
150,(-)-Tylocrebrine,C24H27NO4,C10620,12803
151,Echitamine,C22H29N2O4+,C09152,11344
152,12-O-Palmitoyl-16-hydroxyphorbol 13-acetate,C38H60O9,C09153,11345
153,D-Glucosylsphingosine,C24H47NO7,C03108,6004
154,"D-Glucono-1,4-lactone",C6H10O6,C03107,6003
155,7-Hydroxycholest-4-en-3-one,C27H44O2,C03775,6528
156,Aromatic hydroxy acid,C7H6O2,C03096,5994
157,"7,8-Dihydroxycoumarin",C9H6O4,C03093,5991
158,6-endo-Hydroxycineole,C10H18O2,C03092,5990
159,Calanolide A,C22H26O5,C09147,11339
160,Cytidine 2'-phosphate,C9H14N3O8P,C03104,6000
161,Cyclobutadipyrimidine,C18H34N4O12P2,C03103,5999
162,17-Oxogrindelic acid,C20H30O4,C09150,11342
163,Palmarin,C20H22O7,C09151,11343
164,Bis-4-nitrophenyl phosphate,C12H9N2O8P,C03779,6530
165,Plenolin,C15H20O4,C09531,11722
166,4-Hydroxyphenylacetonitrile,C8H7NO,C03766,6522
167,3-Hydroxy-3-methyl-2-oxopentanoic acid,C6H10O4,C04237,6906
168,5-Fluorodeoxyuridine monophosphate,C9H12FN2O8P,C04242,6908
169,2-Carboxy-D-arabinitol 1-phosphate,C6H13O10P,C04234,6903
170,(2S)-2-Isopropyl-3-oxosuccinate,C7H10O5,C04236,6905
171,N-Acetyl-D-galactosamine 6-sulfate,C8H15NO9S,C04255,6920
172,N-Acetyl-D-glucosamine 1-phosphate,C8H16NO9P,C04256,6921
173,"6-Lactoyl-5,6,7,8-tetrahydropterin",C9H13N5O3,C04244,6909
174,"Amino acid(Tyr-, Trp-, Phe-, Leu-)",C35H47N5O9,C04245,6910
175,Gentisin,C14H10O5,C10066,12252
176,Gentisein,C13H8O5,C10065,12251
177,6-Hydroxykaempferol,C15H10O7,C10068,12254
178,Irisxanthone,C20H20O11,C10067,12253
179,Gambogic acid,C38H44O8,C10062,12248
180,Euxanthone,C13H8O4,C10061,12247
181,Gentiacaulein,C15H12O6,C10064,12250
182,Gartanin,C23H24O6,C10063,12249
183,Cuscohygrine,C13H24N2O,C06521,8752
184,(S)-Norreticuline,C18H21NO4,C06520,8751
185,(S)-3'-Hydroxycoclaurine,C17H19NO4,C06519,8750
186,(S)-Nororientaline,C18H21NO4,C06518,8749
187,Gentianine,C10H9NO2,C06525,8756
188,Nornicotine,C9H12N2,C06524,8755
189,Coniine,C8H17N,C06523,8754
190,Strychnine,C21H22N2O2,C06522,8753
191,Cyclovirobuxine C,C27H48N2O,C10801,12984
192,5-(Heptadec-12-enyl)resorcinol,C23H38O2,C10802,12985
193,Quinidine,C20H24N2O2,C06527,8758
194,Quinine,C20H24N2O2,C06526,8757
195,Cyclobuxine D,C25H42N2O,C10797,12980
196,Cyclopamine,C27H41NO2,C10798,12981
197,Buxamine E,C26H44N2,C10795,12978
198,alpha-Chaconine,C45H73NO14,C10796,12979
199,"1,3-Dimethyl-6,8-isoquinolinediol",C11H11NO2,C12345,582735
200,"1,8-Dihydroxy-3-methylnaphthalene",C11H10O2,C12344,582734
201,Deoxyribose triphosphate,C5H13O13P3,C12347,582737
202,"1,3-Dimethyl-8-isoquinolinol",C11H11NO,C12346,582736
203,Dioncophyllinol B,C23H25NO4,C12341,582731
204,Ancistrotectorine,C26H31NO4,C12340,582730
205,Isoshinanolone,C11H12O3,C12343,582733
206,Ancistrobrevine A,C27H33NO4,C12342,582732
207,Tetracenomycin F1,C20H14O7,C12367,582757
208,Tetracenomycin F2,C20H16O8,C12366,582756
209,3-(Pyrazol-1-yl)-L-alanine,C6H9N3O2,C01162,4389
210,Crotono-betaine,C8H16NO+,C11458,13629
211,3-(3-Hydroxy-phenyl)-propanoic acid,C9H10O3,C11457,13628
212,"3,4-Dihydroxyphenylacetate",C8H8O4,C01161,4388
213,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C5H12O9P2,C11453,13625
214,dTDP-4-oxo-alpha-L-rhamnose,C16H24N2O15P2,C11452,13624
215,"cis-3-(1-Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol",C9H12O4,C11456,13627
216,"4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",C29H46O,C11455,13626
217,Benzoxazolinyl-CoA,C32H43N8O20P3S,C11448,13620
218,"dTDP-4-dimethylamino-4,6-dideoxy-5-C-methyl-L-mannose",C19H33N3O14P2,C11447,13619
219,dTDP-alpha-D-glucose,C16H26N2O16P2,C11451,13623
220,6-Deoxy-D-glucose,C6H12O5,C02522,5532
221,"3-Carboxy-cis,cis-muconate",C7H6O6,C01163,4390
222,Americine,C31H39N5O4,C09996,12182
223,trans-4-Hydroxy-L-proline,C5H9NO3,C01157,4385
224,"Quercetin 3,4'-bissulfate",C15H10O13S2,C01156,4384
225,"2,3-Bisphospho-D-glycerate",C3H8O10P2,C01159,4387
226,1-O-Galloyl-beta-D-glucose,C13H16O10,C01158,4386
227,Deutzioside,C15H22O9,C11671,13836
228,Iridodial glucoside,C16H26O7,C11670,13835
229,Geniposidic acid,C16H22O10,C11673,13838
230,10-Deoxygeniposidic acid,C16H22O9,C11672,13837
231,16-Methoxytabersonine,C22H26N2O3,C11675,13840
232,Secogalioside,C17H24O12,C11674,13839
233,Horhammericine,C21H24N2O4,C11677,13842
234,Lochnericine,C21H24N2O3,C11676,13841
235,"4,21-Dehydrocorynantheine aldehyde",C21H23N2O3+,C11679,13844
236,Dialdehyde,C21H24N2O4,C11678,13843
237,AMP,C10H14N5O7P,C00020,3322
238,Butylate,C11H23NOS,C14323,159449
239,Chlorpyrifos,C9H11Cl3NO3PS,C14322,161106
240,"2,5-Dichloro-cis,cis-muconate",C6H4Cl2O4,C07095,9306
241,"2,6-Dichlorophenol",C6H4Cl2O,C07096,9307
242,Heptachlor epoxide,C10H5Cl7O,C14327,157249
243,Dimethoate,C5H12NO3PS2,C14326,148953
244,"Dibenz[a,h]anthracene",C22H14,C14325,148691
245,Diazinon,C12H21N2O3PS,C14324,152741
246,5-Chloro-2-hydroxymuconic semialdehyde,C6H5ClO4,C07089,9300
247,Protoanemonin,C5H4O2,C07090,9301
248,"2-Hydroxy-6-oxoocta-2,4,7-trienoate",C8H8O4,C07087,9298
249,4-Chlorophenoxyacetate,C8H7ClO3,C07088,9299
250,"3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene",C6H6Cl2O2,C07093,9304
251,"3,6-Dichlorocatechol",C6H4Cl2O2,C07094,9305
252,cis-Acetylacrylate,C5H6O3,C07091,9302
253,"1,4-Dichlorobenzene",C6H4Cl2,C07092,9303
254,Di-n-propylphthalate,C14H18O4,C14469,151714
255,Diisopropyl phthalate,C14H18O4,C14468,155110
256,"cis-1,2-Diphenylcyclobutane",C16H16,C14467,""
257,4-n-Pentylphenol,C11H16O,C14466,169640
258,4-n-Hexylphenol,C12H18O,C14465,160326
259,4-n-Butylphenol,C10H14O,C14464,158741
260,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C6H10O4,C14463,""
261,"3,4-Dichlorophenol",C6H4Cl2O,C14462,150309
262,"4-Hydroxy-2,2',4',5,5'-pentachlorobiphenyl",C12H5Cl5O,C14471,3746427
263,3-Methylcholanthrene,C21H16,C14470,148779
264,Pimobendan,C19H18N4O2,C12532,582922
265,Epristeride,C25H37NO3,C12533,582923
266,Efloxate,C19H16O5,C12534,582924
267,Tranexamic acid,C8H15NO2,C12535,582925
268,Ramatroban,C21H21FN2O4S,C12527,582917
269,Doramectin,C50H74O14,C12528,582918
270,Lafutidine,C22H29N3O4S,C12530,582920
271,Tazarotene,C21H21NO2S,C12531,582921
272,Benzyl benzoate,C14H12O2,C12537,582927
273,Sulfamonomethoxine,C11H12N4O3S,C12540,582930
274,Diatrizoic acid,C11H9I3N2O4,C14020,854261
275,"1,3,5-Trimethoxybenzene",C9H12O3,C13260,586004
276,Desacetyleupaserrin,C20H26O6,C09395,11586
277,Cefoselis sulfate,C19H24N8O10S3,C14011,854252
278,Desacetoxymatricarin,C15H18O3,C09394,11585
279,Sodium cloxacillin monohydrate,C19H19ClN3NaO6S,C14010,854251
280,"1,1-Dichloroethylene",C2H2Cl2,C14039,7846933
281,Carmofur,C11H16FN3O3,C13252,585996
282,Kazinol A,C25H30O4,C09760,11948
283,Trimipramine maleate,C24H30N2O4,C14029,854270
284,Ticarcillin disodium,C15H14N2Na2O6S2,C14021,854262
285,"alpha,alpha'-Trehalose 6,6'-bismycolate",C76H142O15,C04465,7088
286,Radiatin,C19H24O6,C09539,11730
287,"(+)-cis-3,4-Dihydrophenanthrene-3,4-diol",C14H12O2,C04468,7091
288,Methylglyoxal,C3H4O2,C00546,3827
289,Borneol,C10H18O,C01411,4599
290,Phenyl acetate,C8H8O2,C00548,3829
291,Casbene,C20H32,C01414,4602
292,(+)-Neomenthol,C10H20O,C00553,3834
293,meso-Tartaric acid,C4H6O6,C00552,3833
294,Benzyl alcohol,C7H8O,C00556,3836
295,4-Aminobutanal,C4H9NO,C00555,3835
296,D-Tagaturonate,C6H10O7,C00558,3838
297,Cyclopentanone,C5H8O,C00557,3837
298,N-Acetyllactosamine,C14H25NO11,C00611,3885
299,3-Sulfino-L-alanine,C3H7NO4S,C00606,3881
300,Cycasin,C8H16N2O7,C01418,4605
301,Cyanate,CHNO,C01417,4604
302,Aconifine,C34H47NO12,C08655,10848
303,Acetylbrowniine,C27H43NO8,C08654,10847
304,Anhwiedelphinine,C35H44N2O10,C08657,10850
305,Ajaconine,C22H33NO3,C08656,10849
306,Anthranoyllycoctonine,C32H46N2O8,C08659,10852
307,Anopterine,C31H43NO7,C08658,10851
308,Avadharidine,C36H51N3O10,C08661,10854
309,Atisine,C22H33NO2,C08660,10853
310,Beiwutine,C32H43NO12,C08663,10856
311,Barbinine,C36H46N2O10,C08662,10855
312,Flaccidin B,C41H64O12,C08943,11135
313,Echinocystic acid,C30H48O4,C08942,11134
314,5-Hydroxyeicosatetraenoate,C20H32O3,C04805,7367
315,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H23N4O8P2S+,C05125,7546
316,2-Hydroxyethanesulfonate,C2H6O4S,C05123,7545
317,17alpha-(N-Acetyl-D-glucosaminyl)-estradiol 3-D-glucuronoside,C32H45NO13,C04806,7368
318,Methostenol,C28H48O,C05111,7537
319,4alpha-Methylcholesta-8-en-3beta-ol,C28H48O,C05110,7536
320,3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,C05116,7540
321,Porphyrin,C20H14N4,C05113,7538
322,S-(2-Methylbutanoyl)-dihydrolipoamide,C13H25NO2S2,C05118,7542
323,3-Aminobutanoyl-CoA,C25H43N8O17P3S,C05117,7541
324,Taurocholate,C26H45NO7S,C05122,7544
325,S-(3-Methylbutanoyl)-dihydrolipoamide,C13H25NO2S2,C05119,7543
326,Aspidinol,C12H16O4,C10673,12856
327,2-Hydroxybutanoic acid,C4H8O3,C05984,8262
328,Dithioerythritol,C4H10O2S2,C00950,4201
329,Adenosine 2'-phosphate,C10H14N5O7P,C00946,4197
330,3-Dehydroquinate,C7H10O6,C00944,4196
331,"3',5'-Cyclic IMP",C10H11N4O7P,C00943,4195
332,"3',5'-Cyclic GMP",C10H12N5O7P,C00942,4194
333,"3',5'-Cyclic CMP",C9H12N3O7P,C00941,4193
334,2-Oxoglutaramate,C5H7NO4,C00940,4192
335,2-Aminoadenosine,C10H14N6O4,C00939,4191
336,Indole-3-acetate,C10H9NO2,C00954,4205
337,Estradiol-17beta,C18H24O2,C00951,4202
338,"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",C9H11NO6,C04796,7358
339,alpha-Ionone,C13H20O,C12286,14430
340,2-Methylserine,C4H9NO3,C02115,5195
341,"cis-1,2-Dihydrobenzene-1,2-diol",C6H8O2,C04091,6783
342,UDP-4-dehydro-6-deoxy-D-glucose,C15H22N2O16P2,C04089,6781
343,"Pregna-4,9(11)-diene-3,20-dione",C21H28O2,C04084,6777
344,N6-(delta2-Isopentenyl)-adenine,C10H13N5,C04083,6776
345,N-Hydroxy-4-acetylaminobiphenyl,C14H13NO2,C04081,6775
346,N-((R)-Pantothenoyl)-L-cysteine,C12H22N2O6S,C04079,6773
347,Methylmethionine sulfonium salt,C6H14ClNO2S,C04078,6772
348,L-2-Aminoadipate 6-semialdehyde,C6H11NO3,C04076,6771
349,"(R,S)-3-Amino-2-methylpropanoate",C4H9NO2,C04095,6786
350,delta1-Piperideine-2-carboxylate,C6H9NO2,C04092,6784
351,Sulfometuron methyl,C15H16N4O5S,C10955,13138
352,Naproanilide,C19H17NO2,C10954,13137
353,Metalaxyl,C15H21NO4,C10947,13130
354,Metsulfuron methyl,C14H15N5O6S,C10946,13129
355,Nicosulfuron,C15H18N6O6S,C10949,13132
356,Metazachlor,C14H16ClN3O,C10948,13131
357,N-(Methylisothiazolin-5-ylidene)phenylacetamide,C20H16ClF3N2O2S,C10951,13134
358,Prosulfuron,C15H16F3N5O4S,C10950,13133
359,Metolachlor,C15H22ClNO2,C10953,13136
360,Rimsulfuron,C14H17N5O7S2,C10952,13135
361,Octylamine,C8H19N,C01740,4875
362,Palatinose,C12H22O11,C01742,4876
363,8-O-Methyltetrangulol,C20H14O4,C12398,582788
364,Lumichrome,C12H10N4O2,C01727,4864
365,Mannobiose,C12H22O11,C01728,4865
366,Medicarpin,C16H14O4,C01729,4866
367,Mesaconate,C5H6O4,C01732,4868
368,Methionine,C5H11NO2S,C01733,4869
369,Morphinone,C17H17NO3,C01735,4870
370,Nebularine,C10H12N4O4,C01736,4871
371,Neomycin B,C23H46N6O13,C01737,4872
372,6''-O-Malonyl-biochanin A-beta-D-glucoside,C25H26O13,C03593,6384
373,5-Methyl-2'-deoxycytidine,C10H15N3O4,C03592,6383
374,"Inositol 1,2,3,4,5-pentakisphosphate",C6H17O21P5,C04579,7180
375,"16-Methoxy-2,3-dihydro-3-hydroxytabersonine",C22H28N2O4,C04578,7179
376,"2-Oxo-2,3-dihydrofuran-5-acetate",C6H6O4,C03586,6377
377,"3-Chloro-cis,cis-muconate",C6H5ClO4,C03585,6376
378,3-(Uracil-1-yl)-L-alanine,C7H9N3O4,C03584,6375
379,"3,4',5-Trihydroxystilbene",C14H12O3,C03582,6374
380,5-Chloro-3-methylcatechol,C7H7ClO2,C03591,6382
381,4-Hydroxyphenylglyoxylate,C8H6O4,C03590,6381
382,4-Hydroxy-2-oxopentanoate,C5H8O4,C03589,6380
383,"4,5alpha-Dihydrocortisone",C21H30O5,C03588,6379
384,beta-Chamigrene,C15H24,C09637,11827
385,Aromatic amine,C6H7N,C02136,5215
386,S-Adenosyl-L-methionine,C15H22N6O5S,C00019,3321
387,Morusin,C25H24O6,C10106,12292
388,Nitroglycerin,C3H5N3O9,C07455,9658
389,N-Guanylhistamine,C6H12N5+,C07454,9657
390,Epinine,C9H13NO2,C07453,9656
391,Tizanidine,C9H8ClN5S,C07452,9655
392,Moxonidine,C9H12ClN5O,C07451,9654
393,Dexmedetomidine,C13H16N2,C07450,9653
394,Metiamide,C9H16N4S2,C07449,9652
395,Burimamide,C9H16N4S,C07448,9651
396,Acetylhydrazine,C2H6N2O,C07447,9650
397,Isonicotinic acid,C6H5NO2,C07446,9649
398,Asparagusate,C4H6O2S2,C01892,5005
399,"4-Methyl-2,4-bis-(p-hydroxyphenyl)pent-1-ene",C18H20O2,C13625,586243
400,Bisphenol A,C15H16O2,C13624,586242
401,Monobromobisphenol A,C15H15BrO2,C13623,586241
402,Dibromobisphenol A,C15H14Br2O2,C13622,586240
403,Tribromobisphenol A,C15H13Br3O2,C13621,586239
404,Tetrabromobisphenol A,C15H12Br4O2,C13620,586238
405,Teicoplanin A3-1,C72H68Cl2N8O28,C13613,853975
406,Teicoplanin A2-5,C89H99Cl2N9O33,C13612,853974
407,Teicoplanin A2-4,C89H99Cl2N9O33,C13610,853972
408,Metipranolol hydrochloride,C17H28ClNO4,C13591,853953
409,"7,4'-Dihydroxyflavan",C15H14O3,C09641,11831
410,Estramustine,C23H31Cl2NO3,C11228,13407
411,Ethionine,C6H13NO2S,C11227,13406
412,4-Methyl-L-glutamate,C6H11NO4,C06234,8476
413,L-Arabinose 1-phosphate,C5H11O8P,C06238,8479
414,Fe-enterobactin,C30H33FeN3O15,C06230,8473
415,Ectoine,C6H12N2O2,C06231,8474
416,Ferrichrome,C27H51FeN9O12,C06228,8471
417,Fe(III)dicitrate,C12H28FeO14,C06229,8472
418,Sedoheptulose 1-phosphate,C7H15O10P,C06222,8466
419,"3,4-Dihydroxystyrene",C8H8O2,C06224,8467
420,Cellopentaose,C30H52O26,C06218,8464
421,Cellotriose,C18H32O16,C06219,8465
422,Pargyline,C11H13N,C07414,9618
423,Paramethasone,C22H29FO5,C07413,9617
424,Penbutolol,C18H29NO2,C07416,9620
425,Paroxetine,C19H20FNO3,C07415,9619
426,Pyridostigmine,C9H13N2O2+,C07410,9614
427,Pyrantel,C11H14N2S,C07409,9613
428,Pyrvinium,C26H28N3+,C07412,9616
429,Paramethadione,C7H11NO3,C07411,9615
430,Penicillamine,C5H11NO2S,C07418,9622
431,Penciclovir,C10H15N5O3,C07417,9621
432,Leucomycin A13,C41H69NO14,C14063,854301
433,Leucomycin A9,C37H61NO14,C14062,854300
434,Congo red,C32H22N6Na2O6S2,C14078,854315
435,Phthalocyanine,C32H18N8,C14077,854314
436,CBS 113A,C10H11ClN2OS,C14081,7846936
437,(-)-Catechin,C15H14O6,C14079,854316
438,"cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene",C11H12O2,C14083,854319
439,1-Methylnaphthalene,C11H10,C14082,854318
440,2-Hydroxy-8-methylchromene-2-carboxylate,C11H10O4,C14085,854321
441,"1,2-Dihydroxy-8-methylnaphthalene",C11H10O2,C14084,854320
442,2-Dehydro-D-galactonate,C6H10O7,C03342,6185
443,Peonidin 3-O-glucoside,C22H23O11+,C12141,14288
444,Vetispiradiene,C15H24,C12142,14289
445,Unsaturated alcohol,C6H12O,C02893,5822
446,Anemone blue anthocyanin 4,C58H59O36+,C12133,14280
447,2'-Hydroxygenistein,C15H10O6,C12134,14281
448,2'-Hydroxybiochanin A,C16H12O6,C12135,14282
449,(-)-Epigallocatechin,C15H14O7,C12136,14283
450,Pelargonidin 3-O-glucoside,C21H21O10+,C12137,14284
451,Delphinidin 3-O-glucoside,C21H21O12+,C12138,14285
452,Petunidin 3-O-glucoside,C22H23O12+,C12139,14286
453,Malvidin 3-O-glucoside,C23H25O12+,C12140,14287
454,Thiamin acetic acid,C12H15N4O2S+,C02892,5821
455,CMP-N-acetylneuraminate,C20H31N4O16P,C00128,3428
456,Isopentenyl diphosphate,C5H12O7P2,C00129,3429
457,Ferrocytochrome c,C42H52FeN8O6S2,C00126,3426
