dir_name,common_name,alpha_name,first_char,has_theoretical,image_file,struct_file,date_struct_finalized,struct_source
formate,Formate,formate,F,no  ,3358.png,3358.mol,2006-02-23,pubchem sid sdf file
D_ribose_5_phosphate,D-Ribose 5-phosphate,ribose phosphate 5,R,no  ,3417.png,3417.mol,2006-02-23,pubchem sid sdf file
N_acetyl_D_glucosamine_6_phosphate,N-Acetyl-D-glucosamine 6-phosphate,glucosamine phosphate N_acetyl_D_6_,G,no  ,2965.png,2965.mol,2006-02-23,pubchem sid sdf file
caffeine,Caffeine,caffeine,C,no  ,9684.png,9684.mol,2006-02-23,pubchem sid sdf file
tryptamine,Tryptamine,tryptamine,T,no  ,3688.png,3688.mol,2006-02-23,pubchem sid sdf file
L_lactic_acid,L-(+) Lactic acid,lactic,L,no  ,3486.png,3486.mol,2006-02-23,pubchem sid sdf file
D_citrulline,D-Citrulline,citrulline,C,no  ,254119.png,254119.mol,2006-02-23,pubchem sid sdf file
2_deoxyguanosine_5_triphosphate,2'-Deoxyguanosine 5'-triphosphate,deoxyguanosine triphosphate,D,no  ,207063.png,207063.mol,2012-10-26,pubchem sid sdf file
L_carnitine,L(-)-Carnitine,carnitine,C,no  ,154219.png,154219.mol,2006-02-23,pubchem sid sdf file
maleic_acid,Maleic Acid,maleic,M,no  ,4579.png,4579.mol,2006-02-23,pubchem sid sdf file
L_arabinose,L-(+)-Arabinose,arabinose,A,no  ,5591.png,5591.mol,2006-02-23,pubchem sid sdf file
D_galacturonic_acid,D-Galacturonic acid,galacturonic,G,no  ,3627.png,3627.mol,2006-02-23,pubchem sid sdf file
quinolinic_acid,Quinolinic acid,quinolinic,Q,no  ,6487.png,6487.mol,2006-02-23,pubchem sid sdf file
phenylacetic_acid,Phenylacetic acid,phenylacetic,P,no  ,9297.png,9297.mol,2006-02-23,pubchem sid sdf file
raffinose,Raffinose,raffinose,R,no  ,3775.png,3775.mol,2006-02-23,pubchem sid sdf file
DL_serine,DL-Serine,serine,S,no  ,3982.png,3982.mol,2006-02-23,pubchem sid sdf file
4_nitrophenol,4-Nitrophenol,nitrophenol,N,no  ,4127.png,4127.mol,2006-02-23,pubchem sid sdf file
trimethylamine,Trimethylamine,trimethylamine,T,no  ,3844.png,3844.mol,2006-02-23,pubchem sid sdf file
D_L_glyceraldehyde,"D,L-Glyceraldehyde",glyceraldehyde,G,no  ,5231.png,5231.mol,2006-02-23,pubchem sid sdf file
FAD,FAD,fad,F,no  ,152122.png,152122.mol,2006-02-23,pubchem sid sdf file
biotin,(+)-Biotin,biotin,B,no  ,3420.png,3420.mol,2006-02-23,pubchem sid sdf file
polygalacturonic_acid,Polygalacturonic acid,polygalacturonic,P,no  ,3885810.png,3885810.mol,2006-03-10,pubchem sid sdf file
D_glucono_1_5_lactone,"D-Glucono-1,5-lactone",gluconolactone,G,no  ,3498.png,3498.mol,2006-02-23,pubchem sid sdf file
N_acetyl_D_glucosamine,N-Acetyl-D-glucosamine,glucosamine acetyl,G,no  ,166661.png,166661.mol,2006-02-23,pubchem sid sdf file
glycogen,Glycogen,glycogen,G,no  ,3482.png,3482.mol,2006-02-23,pubchem sid sdf file
melibiose,Melibiose,melibiose,M,no  ,7769.png,7769.mol,2006-02-23,pubchem sid sdf file
L_gulonolactone,L-Gulonolactone,gulonolactone,G,no  ,4282.png,4282.mol,2006-02-23,pubchem sid sdf file
D_alanine,D-Alanine,alanine,A,no  ,3433.png,3433.mol,2006-02-23,pubchem sid sdf file
DL_pipecolic_acid,DL-Pipecolic acid,pipecolic,P,no  ,3698.png,3698.mol,2006-02-23,pubchem sid sdf file
L_malic_acid,L-Malic acid,malic,M,no  ,3449.png,3449.mol,2006-02-23,pubchem sid sdf file
D_saccharate,D-Saccharate,saccharate,S,no  ,668181.png,668181.mol,2006-02-23,pubchem sid sdf file
stachyose,Stachyose,stachyose,S,no  ,4765.png,4765.mol,2006-02-23,pubchem sid sdf file
N_N_dimethylglycine,"N,N-Dimethylglycine",dimethylglycine,D,no  ,4271.png,4271.mol,2006-02-23,pubchem sid sdf file
isethionic_acid,Isethionic acid,isethionic,I,no  ,7545.png,7545.mol,2006-02-23,pubchem sid sdf file
tyramine,Tyramine,tyramine,T,no  ,3766.png,3766.mol,2006-02-23,pubchem sid sdf file
thymidine,Thymidine,thymidine,T,no  ,3514.png,3514.mol,2006-02-23,pubchem sid sdf file
glycolate,Glycolate,glycolate,G,no  ,3460.png,3460.mol,2006-02-23,pubchem sid sdf file
L_carnosine,L-Carnosine,carnosine,C,no  ,3676.png,3676.mol,2006-02-23,pubchem sid sdf file
D_glucosamine,D-Glucosamine,glucosamine,G,no  ,3623.png,3623.mol,2006-02-23,pubchem sid sdf file
1_3_dimethylurea,"1,3-Dimethylurea",dimethylurea,D,no  ,150345.png,150345.mol,2006-02-23,pubchem sid sdf file
methyl_4_aminobutyrate,Methyl 4-aminobutyrate,aminobutyrate methyl,A,no  ,161621.png,161621.mol,2006-02-23,pubchem sid sdf file
dAMP,dAMP,damp,D,no  ,3651.png,3651.mol,2006-04-06,pubchem sid sdf file
Oxalosuccinate,Oxalosuccinate,oxalosuccinate,O,no  ,7753.png,7753.mol,2006-04-06,pubchem sid sdf file
Salicylate,Salicylate,salicylate,S,no  ,4063.png,4063.mol,2006-04-06,pubchem sid sdf file
