id,bmrbtype,bmrbid,dirname,bottlename,commonname
22,bmse,bmse000026,D_xylose,d-(+)-xylose,D-(+)-Xylose
23,bmse,bmse000027,D_xylulose,D_xylulose,D-Xylulose
24,bmse,bmse000028,L_alanine,l-alanine,L-Alanine
25,bmse,bmse000029,L_arginine,l-arginine mono hydro chloride,L-Arginine
26,bmse,bmse000030,L_asparagine,l-asparagine,L-Asparagine
27,bmse,bmse000031,L_aspartic_acid,l-aspartic acid,L-Aspartic acid
28,bmse,bmse000032,L_citrulline,l-citrulline,L-Citrulline
29,bmse,bmse000033,L_cystathionine,l-cystathionine,L-Cystathionine
30,bmse,bmse000034,L_cysteine,l-cysteine,L-Cysteine
31,bmse,bmse000035,L_cystine,l-cystine,L-Cystine
32,bmse,bmse000036,L_fucose,L-(-)-fucose,L-(-)-Fucose
33,bmse,bmse000037,L_glutamic_acid,l-glutamic acid,L-Glutamic acid
34,bmse,bmse000038,L_glutamine,l-glutamine,L-Glutamine
35,bmse,bmse000039,L_histidine,l-histidine monohydrochloride monohydrate,L-Histidine
36,bmse,bmse000040,L_homoserine,l-homoserine,L-Homoserine
37,bmse,bmse000041,L_isoleucine,l-isoleucine,L-Isoleucine
38,bmse,bmse000042,L_leucine,l-leucine,L-Leucine
39,bmse,bmse000043,L_lysine,l-lysine monohydrochloride,L-Lysine
40,bmse,bmse000044,L_methionine,l-methionine,L-Methionine
41,bmse,bmse000045,L_phenylalanine,L-phenyalanine,L-Phenylalanine
42,bmse,bmse000046,malic_acid,malic_acid,Malic acid
43,bmse,bmse000047,L_proline,l-proline,L-Proline
44,bmse,bmse000048,L_serine,l-serine,L-Serine
45,bmse,bmse000049,L_threonine,l-threonine,L-Threonine
46,bmse,bmse000050,L_tryptophan,l-tryptophan,L-Tryptophan
47,bmse,bmse000051,L_tyrosine,l-tyrosine,L-Tyrosine
48,bmse,bmse000052,L_valine,l-valine,L-Valine
49,bmse,bmse000053,NAD,"NAD, monosodium salt",NAD
50,bmse,bmse000054,NADH,"NADH, disodium salt",NADH
51,bmse,bmse000055,NADPH,"NADPH, tetrasodium salt",NADPH
52,bmse,bmse000056,N_acetyl_D_mannosamine,N-Acetyl-D-mannosamine,N-Acetyl-D-mannosamine
53,bmse,bmse000057,N_acetylneuraminic_acid,N-Acetylneuraminic acid Type IV-S,N-Acetylneuraminic acid
54,bmse,bmse000058,O_succinyl_L_homoserine,O-succinyl-L-homoserine,O-Succinyl-L-homoserine
55,bmse,bmse000059,S_adenosyl_L_methionine,S-(5'-Adenosyl)-L-methionine chloride,s-(5'-Adenosyl)-L-methionine
56,bmse,bmse000060,adenine,adenine,Adenine
57,bmse,bmse000061,adenosine,adenosine,Adenosine
58,bmse,bmse000062,adonitol,adonitol,Adonitol
59,bmse,bmse000063,agmatine,agmatine sulfate salt,Agmatine
60,bmse,bmse000064,alpha_ketoglutaric_acid,alpha-ketoglutaric acid disodium salt dihydrate,alpha-Ketoglutaric acid
61,bmse,bmse000065,lactose,alpha-lactose monohydrate,Lactose
62,bmse,bmse000066,4_aminobenzoic_acid,4-aminobenzoic acid,4-Aminobenzoic acid
63,bmse,bmse000067,anthranilic_acid,anthranilic acid,Anthranilic acid
64,bmse,bmse000068,L_arabitol,L-(-) arabitol,L-(-) Arabitol
65,bmse,bmse000069,betaine,betaine,Betaine
66,bmse,bmse000070,betaine_aldehyde,Betaine aldehyde chloride,Betaine aldehyde
67,bmse,bmse000071,cAMP,"cyclic AMP, monosodium salt",cyclic AMP
68,bmse,bmse000072,cadaverine,"1,5-Diaminopentane",Cadaverine
69,bmse,bmse000073,L_canavanine,L-Canavanine sulfate salt,L-Canavanine
70,bmse,bmse000074,D_carnitine,D-Carnitine,D-Carnitine
71,bmse,bmse000075,chorismic_acid,chorismic acid,Chorismic acid
72,bmse,bmse000076,citrate,Sodium citrate tribasic Dihydrate,Citrate
73,bmse,bmse000077,coumarin,coumarin,Coumarin
74,bmse,bmse000078,creatine,creatine hydrate,Creatine
75,bmse,bmse000079,creatine_phosphate,"creatine phosphate, disodium salt tetrahyrdrate",Creatine phosphate
76,bmse,bmse000080,dehydro_proline,"3,4-dehydro-d/l-proline","3,4-Dehydro-d/L-proline"
77,bmse,bmse000083,fumaric_acid,sodium fumarate dibasic,Fumaric acid
78,bmse,bmse000084,gluconic_acid,gluconic acid sodium salt,Gluconic acid
79,bmse,bmse000086,alpha_D_glucose_1_phosphate,"alpha-d-glucose-1-phosphate, disodium salt",alpha-D-Glucose-1-phosphate
80,bmse,bmse000087,alpha_D_glucose_1_6_bisphosphate,"alpha-D-Glucose 1,6-bisphosphate","alpha-D-Glucose 1,6-bisphosphate"
81,bmse,bmse000089,glycine,glycine,Glycine
82,bmse,bmse000090,guanine,guanine,Guanine
83,bmse,bmse000091,guanosine,guanosine,Guanosine
84,bmse,bmse000092,4_hydroxybenzoic_acid,4-hydroxy-benzoic acid,4-Hydroxy-benzoic acid
85,bmse,bmse000093,trans_3_hydroxycinnamic_acid,"trans-3-Hydroxycinnamic acid , prodominatly trans",trans-3-Hydroxycinnamic acid
86,bmse,bmse000094,hypoxanthine,hypoxanthine,Hypoxanthine
87,bmse,bmse000095,i_erythritol,i-Erythritol,i-Erythritol
88,bmse,bmse000096,imidazole,imidazole,Imidazole
89,bmse,bmse000097,indole,indole,Indole
90,bmse,bmse000098,inosine,inosine,Inosine
91,bmse,bmse000099,D_mannitol,D-Mannitol,D-Mannitol
92,bmse,bmse000100,meso_erythritol,meso-erythritol,meso-Erythritol
93,bmse,bmse000101,methyl_oxobutanoic_acid,3-methyl-2-oxobutinoic acid sodium salt,3-Methyl-2-oxobutinoic acid
94,bmse,bmse000102,muco_inositol,muco-inositol,muco-Inositol
95,bmse,bmse000103,myo_inositol,myo-inositol,myo-Inositol
96,bmse,bmse000104,niacin,nicotinic acid,Nicotinic acid
97,bmse,bmse000105,nicotine,(+/-) nicotine,(+/-) Nicotine
98,bmse,bmse000106,oxalate,oxalate,Oxalate
99,bmse,bmse000107,phosphoenolpyruvic_acid,phosphoenolpyruvic acid monopotassium salt,Phosphoenolpyruvic acid
100,bmse,bmse000108,prephenic_acid,prephenic acid,Prephenic acid
101,bmse,bmse000109,putrescine,"1,4 diaminobutane dihydrochloride","Putrescine (1,4 diaminobutane)"
102,bmse,bmse000110,pyridoxal,pyridoxal hydrochloride,Pyridoxal
103,bmse,bmse000111,pyridoxal_5_phosphate,pyridoxal-5-phosphate,Pyridoxal-5-phosphate
104,bmse,bmse000112,pyruvic_acid,sodium pyruvate,Pyruvic acid
105,bmse,bmse000113,scyllo_inositol,scyllo-Inositol,scyllo-Inositol
106,bmse,bmse000114,shikimic_acid,shikimic acid,Shikimic acid
107,bmse,bmse000115,D_sorbitol,d-sorbitol,D-Sorbitol
108,bmse,bmse000116,spermidine,spermidine,Spermidine
109,bmse,bmse000117,spermine,spermine,Spermine
110,bmse,bmse000119,sucrose,sucrose,Sucrose
111,bmse,bmse000120,taurine,taurine,Taurine
112,bmse,bmse000121,L_threitol,L(-)-Threitol,L-(-)-Threitol
113,bmse,bmse000123,trans_4_hydroxy_L_proline,trans 4 hydroxy l proline,trans 4 Hydroxy-L-proline
114,bmse,bmse000124,trans_cinnamic_acid,trans-cinnamic acid,trans-Cinnamic acid
115,bmse,bmse000125,D_trehalose,D-Trehalose,D-Trehalose
116,bmse,bmse000126,uric_acid,uric acid sodium salt,Uric acid
117,bmse,bmse000127,xanthine,xanthine,Xanthine
118,bmse,bmse000128,xanthosine,xanthosine,Xanthosine
119,bmse,bmse000129,xylitol,xylitol,Xylitol
120,bmse,bmse000130,pyridoxamine,pyridoxamine dihydrochloride,Pyridoxamine
121,bmse,bmse000131,pyridoxamine_5_phosphate,pyridoxamine-5-phosphate,Pyridoxamine-5-phosphate
122,bmse,bmse000132,homovanillic_acid,homovanillic acid,Homovanillic acid
123,bmse,bmse000133,isonicotinic_acid,isonicotinic acid,Isonicotinic acid
124,bmse,bmse000134,ethacrynic_acid,ethacrynic acid,Ethacrynic acid
125,bmse,bmse000135,cyanuric_acid,cyanuric acid,Cyanuric acid
126,bmse,bmse000137,itaconic_acid,itaconic acid,Itaconic acid
127,bmse,bmse000138,D_cellobiose,D-cellobiose,D-Cellobiose
128,bmse,bmse000139,amygdalin,Amygdalin,Amygdalin
129,bmse,bmse000140,D_glucuronate,"D-Glucuronate, Soldium salt",D-Glucuronate
130,bmse,bmse000141,gamma_D_galactonolactone,"D-Galactono-1,4-lactone","D-Galactono-1,4-lactone"
131,bmse,bmse000142,acetylcarnitine,(+-)-Acetylcarnitine chloride,(+-)-Acetylcarnitine
132,bmse,bmse000143,5_acetylamido_2_chloroaniline,5-Acetylamido-2-chloroaniline,5-Acetylamido-2-chloroaniline
133,bmse,bmse000144,dihydroxyacetone,Dihydroxyacetone,Dihydroxyacetone
134,bmse,bmse000145,N_acetyl_L_glutamine,N-acetyl-L-Glutamine,N-Acetyl-L-Glutamine
135,bmse,bmse000146,ADA,ADA,N-(2-Acetamido)iminodiacetic acid
136,bmse,bmse000147,4_aminoantipyrine,4-Aminoantipyrine hydrochloride,4-Aminoantipyrine
137,bmse,bmse000148,diethyl_oxalacetate,Diethyl oxalacetate sodium salt,Diethyl oxalacetate
138,bmse,bmse000150,4_hydroxycinnamic_acid,trans-4-Hydroxycinnamic acid,4-Hydroxycinnamic acid
139,bmse,bmse000151,alpha_D_galactose_1_phosphate,alpha-D-Galactose 1-phosphate.K+.H2O,alpha-D-Galactose 1-phosphate
140,bmse,bmse000152,trigonelline,Trigonelline Hydrochloride,Trigonelline
141,bmse,bmse000153,L_methionine_methylsulfonium_iodide,L-methionine methylsulfonium iodide,L-Methionine methylsulfonium iodide
142,bmse,bmse000154,4_2_aminoethyl_morpholine,4-(2-Aminoethyl)morpholine,4-(2-Aminoethyl)morpholine
143,bmse,bmse000155,creatinine,Creatinine,Creatinine
144,bmse,bmse000157,N_acetyl_L_alanine,N-Acetyl-L-Alanine,N-Acetyl-L-alanine
145,bmse,bmse000158,uridine,Uridine,Uridine
146,bmse,bmse000159,beta_alanine,beta-alanine,beta-Alanine
147,bmse,bmse000160,sarcosine,Sarcosine Hydrochloride,Sarcosine
148,bmse,bmse000161,3_hydroxybutyrate,Sodium 3-hydroxybutyrate,3-Hydroxybutyrate
149,bmse,bmse000162,L_ornithine,L-Ornithine hydrochloride,L-Ornithine
150,bmse,bmse000163,N_acetyl_D_glucosamine_1_phosphate,N-Acetyl-alpha-D-glucosamine 1-phosphate disodium salt,N-Acetyl-D-glucosamine 1-phosphate
151,bmse,bmse000166,D_xylonate_cadmium,D-Xylonate cadmium,D-Xylonate
152,bmse,bmse000167,L_tartaric_acid,L-Tartaric acid,L-Tartaric acid
153,bmse,bmse000168,acetylcholine,Acetylcholine chloride,Acetylcholine
154,bmse,bmse000169,L_selenomethionine,L(+)-Selenomethionine,L(+)-Selenomethionine
155,bmse,bmse000170,L_glutathione_oxidized,"L(-)-Glutathione, oxidized","L(-)-Glutathione, oxidized"
156,bmse,bmse000171,1_amino_1_phenylmethyl_phosphonic_acid,(1-amino-1-phenylmethyl)phosphonic acid,(1-Amino-1-phenylmethyl)phosphonic acid
157,bmse,bmse000172,L_kynurenine,L-Kynurenine Sulfate,L-Kynurenine
158,bmse,bmse000173,4_hydroxyphenethyl_alcohol,4-Hydroxyphenethyl alcohol,4-Hydroxyphenethyl alcohol
159,bmse,bmse000174,5_acetylamino_2_nitrobenzoic_acid,5-(acetylamino)-2-nitrobenzoic acid,5-(Acetylamino)-2-nitrobenzoic acid
160,bmse,bmse000175,inosine_5_monophosphate,"Inosine 5'-monophosphate, disodium salt hydrate",Inosine 5'-monophosphate
161,bmse,bmse000176,2_amino_5_ethyl_1_3_4_thiadiazole,"2-Amino-5-ethyl-1,3,4-thiadiazole","2-Amino-5-ethyl-1,3,4-thiadiazole"
162,bmse,bmse000177,indole_3_acetic_acid,Indole-3-Acetic Acid,Indole-3-acetic acid
163,bmse,bmse000178,alpha_naphthoic_acid,alpha-naphthoic acid,alpha-Naphthoic acid
164,bmse,bmse000179,propionic_acid,"Propionic acid, sodium salt",Propionic acid
165,bmse,bmse000180,cytosine,Cytosine,Cytosine
166,bmse,bmse000182,L-ascorbate,(+)-Sodium L-ascorbate,L-Ascorbate
167,bmse,bmse000183,succinic_acid,Disodium Succinate,Succinic acid
168,bmse,bmse000184,glycerol,Glycerol,Glycerol
169,bmse,bmse000185,L_glutathione_reduced,L-Glutathione reduced,L-Glutathione reduced
170,bmse,bmse000187,uracil,Uracil,Uracil
171,bmse,bmse000188,uridine_5_diphospho_N_acetlyglucosamine,Uridine 5'-Diphospho-N-Acetlyglucosamine disodium salt,Uridine 5'-diphospho-N-acetlyglucosamine
172,bmse,bmse000189,D_glucosamine_6_phosphate,D-Glucosamine 6-phosphate,D-Glucosamine 6-phosphate
173,bmse,bmse000190,cytidine,Cytidine Free Base,Cytidine
174,bmse,bmse000191,acetic_acid,Acetic Acid,Acetic acid
175,bmse,bmse000193,DL_alpha_glycerol_phosphate,DL-alpha-Glycerol phosphate Disodium salt Hexahydrate,DL-alpha-Glycerol phosphate
176,bmse,bmse000194,L_arginine_L_glutamate,L-Arginine L-Glutamate,L-Arginine L-Glutamate
177,bmse,bmse000195,N_alpha_acetyl_DL_ornithine,N(alpha)-Acetyl-DL-Ornithine,N(alpha)-Acetyl-DL-ornithine
178,bmse,bmse000196,methyl_N_acetyl_alpha_D_glucosaminide,Methyl N-acetyl-alpha-D-glucosaminide,Methyl N-acetyl-alpha-D-glucosaminide
179,bmse,bmse000198,6_phosphogluconic_acid,6-Phosphogluconic acid trisodium salt,6-Phosphogluconic acid
180,bmse,bmse000199,citraconic_acid,citraconic acid,Citraconic acid
181,bmse,bmse000200,homogentisic_acid,homogentisic acid,Homogentisic acid
182,bmse,bmse000201,kanamycin,Kanamycin,Kanamycin
183,bmse,bmse000202,HEPES,HEPES,HEPES
184,bmse,bmse000203,formate,Sodium Formate,Formate
185,bmse,bmse000204,D_ribose_5_phosphate,D-Ribose 5-phosphate disodium salt hydrate,D-Ribose 5-phosphate
186,bmse,bmse000205,N_acetyl_D_glucosamine_6_phosphate,N-Acetyl-D-glucosamine 6-phosphate disodium salt,N-Acetyl-D-glucosamine 6-phosphate
187,bmse,bmse000206,caffeine,Caffeine,Caffeine
188,bmse,bmse000207,tryptamine,Tryptamine,Tryptamine
189,bmse,bmse000208,L_lactic_acid,l-(+) lactic acid calcium salt,L-(+) Lactic acid
190,bmse,bmse000209,D_citrulline,D-Citrulline,D-Citrulline
191,bmse,bmse000210,2_deoxyguanosine_5_triphosphate,2'-Deoxyguanosine 5'-triphosphate Dilithium salt,2'-Deoxyguanosine 5'-triphosphate
192,bmse,bmse000211,L_carnitine,L(-)-Carnitine,L(-)-Carnitine
193,bmse,bmse000212,maleic_acid,Maleic Acid,Maleic Acid
194,bmse,bmse000213,L_arabinose,L-(+)-Arabinose,L-(+)-Arabinose
195,bmse,bmse000216,D_galacturonic_acid,D-Galacturonic Acid,D-Galacturonic acid
196,bmse,bmse000219,quinolinic_acid,quinolinic acid,Quinolinic acid
197,bmse,bmse000220,phenylacetic_acid,phenylacetic acid,Phenylacetic acid
198,bmse,bmse000221,raffinose,raffinose hydrate,Raffinose
199,bmse,bmse000222,DL_serine,DL-Serine,DL-Serine
200,bmse,bmse000223,4_nitrophenol,4-Nitrophenol,4-Nitrophenol
201,bmse,bmse000224,trimethylamine,Trimethylamine hydrochloride,Trimethylamine
202,bmse,bmse000225,D_L_glyceraldehyde,"D,L-Glyceraldehyde","D,L-Glyceraldehyde"
203,bmse,bmse000226,FAD,"FAD, Disodium salt",FAD
204,bmse,bmse000227,biotin,(+)-Biotin,(+)-Biotin
205,bmse,bmse000228,polygalacturonic_acid,Polygalacturonic acid,Polygalacturonic acid
206,bmse,bmse000230,D_glucono_1_5_lactone,"D-Glucono-1,5-lactone","D-Glucono-1,5-lactone"
207,bmse,bmse000231,N_acetyl_D_glucosamine,N-acetyl-D-glucosamine,N-Acetyl-D-glucosamine
208,bmse,bmse000232,glycogen,Glycogen (from oysters),Glycogen
209,bmse,bmse000233,melibiose,alpha-D (+) Melibiose monohydrate,Melibiose
210,bmse,bmse000235,L_gulonolactone,L-Gulonolactone,L-Gulonolactone
211,bmse,bmse000236,D_alanine,D - Alanine,D-Alanine
212,bmse,bmse000237,DL_pipecolic_acid,dl-pipecolic acid Hcl,DL-Pipecolic acid
213,bmse,bmse000238,L_malic_acid,l-malic acid,L-Malic acid
214,bmse,bmse000239,D_saccharate,"D-Saccharate, potassium hydrogen",D-Saccharate
215,bmse,bmse000240,stachyose,Stachyose,Stachyose
216,bmse,bmse000241,N_N_dimethylglycine,"N,N-Dimethylglycine hydrochloride","N,N-Dimethylglycine"
217,bmse,bmse000242,isethionic_acid,"Isethionic acid, potassium salt",Isethionic acid
218,bmse,bmse000243,tyramine,Tyramine hydrochloride,Tyramine
219,bmse,bmse000244,thymidine,thymidine,Thymidine
220,bmse,bmse000245,glycolate,Sodium glycolate,Glycolate
221,bmse,bmse000246,L_carnosine,L-carnosine,L-Carnosine
222,bmse,bmse000247,D_glucosamine,D-Glucosamine hydrochloride,D-Glucosamine
223,bmse,bmse000248,1_3_dimethylurea,"1,3-Dimethylurea","1,3-Dimethylurea"
224,bmse,bmse000249,methyl_4_aminobutyrate,Methyl 4-aminobutyrate hydrochloride,Methyl 4-aminobutyrate
225,bmse,bmse000250,dAMP,dAMP,dAMP
226,bmse,bmse000251,Oxalosuccinate,Oxalosuccinate,Oxalosuccinate
227,bmse,bmse000252,Salicylate,Salicylate,Salicylate
228,bmse,bmse000253,dADP,dADP Potassium salt,dADP
229,bmse,bmse000254,D_Fructose_1_phosphate,D-Fructose 1-phosphate,D-Fructose 1-phosphate
230,bmse,bmse000255,ITP,ITP Sodium salt,ITP
231,bmse,bmse000256,Formaldehyde,Formaldehyde,Formaldehyde
232,bmse,bmse000257,FMN,FMN,FMN
233,bmse,bmse000258,Glycolaldehyde,Glycolaldehyde,Glycolaldehyde
234,bmse,bmse000259,4_Hydroxybenzaldehyde,4-Hydroxybenzaldehyde,4-Hydroxybenzaldehyde
235,bmse,bmse000260,Nicotinamide_D_ribonucleotide,"beta Nicotinamide mononucleotide, reduced form",Nicotinamide D-ribonucleotide
467,bmse,bmse000509,dodecanoic_acid,dodecanoic acid,Dodecanoic acid
236,bmse,bmse000261,Acetyl_phosphate,"Acetyl phosphate lithium, potassium salt",Acetyl phosphate
237,bmse,bmse000262,3_4_Hydroxyphenyl_pyruvate,3-(4-Hydroxyphenyl)pyruvate,3-(4-Hydroxyphenyl)pyruvate
238,bmse,bmse000263,NADP,NADP,NADP+
239,bmse,bmse000264,4_Nitrophenyl_phosphate,p-Nitrophenyl phosphate,4-Nitrophenyl phosphate
240,bmse,bmse000265,4_Nitrocatechol,4-Nitrocatechol,4-Nitrocatechol
241,bmse,bmse000266,UDP,UDP Sodium salt,UDP
242,bmse,bmse000267,Formamide,Formamide,Formamide
243,bmse,bmse000269,R_Lactate,(R)-Lactate lithium salt,(R)-Lactate
244,bmse,bmse000270,GDP,GDP Sodium salt,GDP
245,bmse,bmse000271,CoA,CoA,CoA
246,bmse,bmse000272,CDP,CDP sodium salt,CDP
247,bmse,bmse000273,D_Aspartate,D Aspartic acid,D-Aspartate
248,bmse,bmse000274,Thiamin,Thiamin,Thiamin
249,bmse,bmse000275,D_Fructose_2_6_bisphosphate,"D-Fructose 2,6-bisphosphate","D-Fructose 2,6-bisphosphate"
250,bmse,bmse000276,Ethanolamine,Ethanolamine HCl,Ethanolamine
251,bmse,bmse000277,CTP,CTP,CTP
252,bmse,bmse000278,D_Ribulose_5_phosphate,D-Ribose 5-phosphate,D-Ribulose 5-phosphate
253,bmse,bmse000279,Urocanate,Urocanate,Urocanate
254,bmse,bmse000280,UMP,UMP,UMP
255,bmse,bmse000281,Nicotinamide,Nicotinamide,Nicotinamide
256,bmse,bmse000282,DL_Alanine,DL-Alanine,Alanine
257,bmse,bmse000283,Orotate,Orotate monohydrate,Orotate
258,bmse,bmse000284,Benzonitrile,Benzonitrile,Benzonitrile
259,bmse,bmse000285,Choline,Choline,Choline
260,bmse,bmse000286,Acetophenone,Acetophenone,Acetophenone
261,bmse,bmse000287,Pantothenate,Pantothenate,Pantothenate
262,bmse,bmse000288,Pyridoxine,Pyridoxine,Pyridoxine
263,bmse,bmse000289,S_Adenosyl_L_homocysteine,S-Adenosyl-L-homocysteine,S-Adenosyl-L-homocysteine
264,bmse,bmse000290,Phenol,Phenol,Phenol
265,bmse,bmse000291,Selenomethionine,Seleno-DL-methionine,Selenomethionine
266,bmse,bmse000292,UDPglucuronate,UDP-5'-diphospho-glucuronate,UDP glucuronate
267,bmse,bmse000293,Hydroquinone,Hydroquinone,Hydroquinone
268,bmse,bmse000294,Methanol,Methyl Alcohol,Methanol
269,bmse,bmse000295,UTP,UTP,UTP
270,bmse,bmse000296,dTMP,dTMP,dTMP
271,bmse,bmse000297,Ethanol,Ethanol,Ethanol
272,bmse,bmse000298,D_Glyceraldehyde,D-(+)-Glyceraldehyde,D-Glyceraldehyde
273,bmse,bmse000299,Folate,Folate,Folate
274,bmse,bmse000300,Benzoate,Benzoate,Benzoate
275,bmse,bmse000302,1_2_Propanediol,"1,2-Propanediol","1,2-Propanediol"
276,bmse,bmse000303,1_3_Propanediol,"1,3-Propanediol","1,3-Propanediol"
277,bmse,bmse000305,1_amino_2_propanol,1-amino-2-propanol,1-amino-2-propanol
278,bmse,bmse000306,Quinic_acid,Quinic acid,"(1R,3R,4R,5R)-(-)-Quinic acid"
279,bmse,bmse000307,2_Amino_1_phenylethanol,2-Amino-1-phenylethanol,2-Amino-1-phenylethanol
280,bmse,bmse000308,2_Aminoethyl_dihydrogen_phosphate,2-Aminoethyl dihydrogen phosphate,2-Aminoethyl dihydrogen phosphate
281,bmse,bmse000309,2_Aminoethylphosphonic_acid,2-Aminoethylphosphonic acid,2-Aminoethylphosphonic acid
282,bmse,bmse000310,2_Aminophenol,2-Aminophenol,2-Aminophenol
283,bmse,bmse000311,Cytidine_5_monophosphate,Cytidine-5'-monophosphate,Cytidine-5'-monophosphate
284,bmse,bmse000312,6_aminopenicillanic_acid,(+)-6-aminopenicillanic acid,6-aminopenicillanic acid
285,bmse,bmse000313,beta_gentiobiose,beta-gentiobiose,beta-gentiobiose
286,bmse,bmse000314,d_desthiobiotin,d-desthiobiotin,d-desthiobiotin
287,bmse,bmse000315,D_Salicin,D-(-)-Salicin,D-Salicin
288,bmse,bmse000316,Epinephrine,(-)-Epinephrine,Epinephrine
289,bmse,bmse000317,Gibberellic_acid,Gibberellic acid,Gibberellic acid
290,bmse,bmse000318,sinapic_acid,sinapic acid,Sinapic acid
291,bmse,bmse000319,3_Methyl_2_oxopentanoic_acid,(+-)-3-Methyl-2-oxopentanoic acid calcium salt dihydrate,3-Methyl-2-oxopentanoic acid
292,bmse,bmse000320,2_Deoxyuridine,2'-Deoxyuridine,2'-Deoxyuridine
293,bmse,bmse000321,3_Hydroxyanthranilic_acid,3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid
294,bmse,bmse000322,3_4_Dihydroxy_L_phenylalanine,"3,4-Dihydroxy-L-phenylalanine","3,4-Dihydroxy-L-phenylalanine"
295,bmse,bmse000323,2_Deoxycytidine,2'-Deoxycytidine,2'-Deoxycytidine
296,bmse,bmse000324,3_hydroxybenzoic_acid,3-hydroxybenzoic acid,3-hydroxybenzoic acid
297,bmse,bmse000325,2_ketobutyric_acid,alpha-ketobutyric acid,2-ketobutyric acid
298,bmse,bmse000326,2_5_dihydroxybenzoic_acid,"2,5-DIHYDROXYBENZOIC ACID","2,5-dihydroxybenzoic acid"
299,bmse,bmse000327,3_5_Diiodo_L_tyrosine,"3,5-Diiodo-L-tyrosine dihydrate","3,5-Diiodo-L-tyrosine"
300,bmse,bmse000328,3_4_Dihydroxybenzoic_acid,"3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid"
301,bmse,bmse000329,3_4_Dihydroxyphenylacetic_acid,"3,4-Dihydroxyphenylacetic acid","3,4-Dihydroxyphenylacetic acid"
302,bmse,bmse000330,2_Furoic_acid,2-Furoic acid,2-Furoic acid
303,bmse,bmse000331,3_2_Hydroxyphenylpropionic_acid,3-(2-Hydroxyphenyl)propionic acid,3-(2-Hydroxyphenyl)propionic acid
304,bmse,bmse000332,2_Chlorobenzoic_acid,2-Chlorobenzoic acid,2-Chlorobenzoic acid
305,bmse,bmse000333,3_Ureidopropionic_acid,3-Ureidopropionic acid,3-Ureidopropionic acid
306,bmse,bmse000334,3_Methylcatechol,3-Methylcatechol,3-Methylcatechol
307,bmse,bmse000335,3_Hydroxy_3_methylglutaric_acid,3-Hydroxy-3-methylglutaric acid,3-Hydroxy-3-methylglutaric acid
308,bmse,bmse000336,3_5_dichlorocatechol,"3,5-dichlorocatechol","3,5-dichlorocatechol"
309,bmse,bmse000337,3_Iodo_L_tyrosine,3-Iodo_L-tyrosine,3-Iodo_L-tyrosine
310,bmse,bmse000338,2_Hydroxyisocaproic_acid,2-Hydroxyisocaproic acid,2-Hydroxyisocaproic acid
311,bmse,bmse000339,3_hydroxyphenylacetic_acid,3-hydroxyphenylacetic acid,3-hydroxyphenylacetic acid
312,bmse,bmse000340,gamma_Aminobutyric_acid,gamma-Aminobutyric acid,gamma-Aminobutyric acid
313,bmse,bmse000341,6_Hydroxynicotinic_acid,6-Hydroxynicotinic acid,6-Hydroxynicotinic acid
314,bmse,bmse000342,L_Dihydroorotic_acid,L-Dihydroorotic acid,L-Dihydroorotic acid
315,bmse,bmse000343,vanillin,vanillin,vanillin
